type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2020-12-13 15:27:59,50.75012877,7.04276580,4,104.577,,1.010,350,,36,,Tabu2 62
T,2020-12-13 15:28:27,50.75028969,7.04268573,4,106.115,,1.040,273,,36,20201213-162759,GPS Logger: 20201213-162759
T,2020-12-13 15:28:28,50.75028781,7.04266996,4,106.137,,1.040,275,,36,,
T,2020-12-13 15:28:29,50.75028577,7.04264966,4,105.803,,1.110,273,,36,,
T,2020-12-13 15:28:30,50.75028412,7.04262916,4,105.500,,1.200,272,,36,,
T,2020-12-13 15:28:31,50.75028219,7.04260428,4,105.706,,1.420,270,,36,,
T,2020-12-13 15:28:32,50.75028243,7.04258195,4,106.107,,1.170,272,,36,,
T,2020-12-13 15:28:33,50.75028254,7.04256159,4,106.054,,1.240,268,,36,,
T,2020-12-13 15:28:34,50.75028405,7.04254166,4,106.131,,1.240,280,,36,,
T,2020-12-13 15:28:35,50.75028365,7.04252236,4,106.622,,1.230,268,,36,,
T,2020-12-13 15:28:36,50.75028295,7.04250441,4,106.784,,1.370,272,,36,,
T,2020-12-13 15:28:37,50.75028327,7.04248671,4,106.148,,1.230,277,,36,,
T,2020-12-13 15:28:38,50.75028301,7.04246877,4,105.749,,1.230,272,,36,,
T,2020-12-13 15:28:39,50.75028350,7.04244972,4,105.598,,1.220,274,,36,,
T,2020-12-13 15:28:40,50.75028329,7.04243074,4,105.442,,1.320,264,,36,,
T,2020-12-13 15:28:41,50.75028323,7.04240952,4,104.836,,1.370,269,,36,,
T,2020-12-13 15:28:42,50.75028244,7.04239036,4,104.469,,1.290,266,,36,,
T,2020-12-13 15:28:43,50.75028427,7.04237103,4,104.261,,1.330,282,,36,,
T,2020-12-13 15:28:44,50.75028510,7.04235132,4,103.989,,1.320,273,,36,,
T,2020-12-13 15:28:45,50.75028686,7.04233001,4,104.243,,1.310,276,,36,,
T,2020-12-13 15:28:46,50.75028851,7.04231089,4,103.704,,1.230,276,,36,,
T,2020-12-13 15:28:47,50.75029025,7.04229112,4,103.620,,1.320,278,,36,,
T,2020-12-13 15:28:48,50.75028924,7.04227055,4,103.312,,1.340,269,,36,,
T,2020-12-13 15:28:49,50.75029028,7.04225350,4,103.060,,1.210,290,,36,,
T,2020-12-13 15:28:50,50.75028988,7.04223233,4,102.919,,1.390,273,,36,,
T,2020-12-13 15:28:51,50.75028895,7.04221023,4,102.872,,1.430,276,,36,,
T,2020-12-13 15:28:52,50.75028516,7.04218843,4,103.001,,1.350,262,,36,,
T,2020-12-13 15:28:53,50.75028468,7.04216713,4,103.155,,1.290,272,,36,,
T,2020-12-13 15:28:54,50.75028482,7.04214170,4,103.180,,1.440,274,,36,,
T,2020-12-13 15:28:55,50.75028589,7.04211647,4,103.423,,1.460,276,,36,,
T,2020-12-13 15:28:56,50.75028710,7.04209141,4,103.090,,1.500,270,,36,,
T,2020-12-13 15:28:57,50.75028725,7.04206631,4,103.422,,1.550,269,,36,,
T,2020-12-13 15:28:58,50.75028746,7.04204264,4,103.408,,1.520,270,,36,,
T,2020-12-13 15:28:59,50.75028688,7.04202067,4,103.354,,1.500,268,,36,,
T,2020-12-13 15:29:00,50.75028578,7.04199879,4,103.653,,1.520,265,,36,,
T,2020-12-13 15:29:01,50.75028616,7.04197930,4,103.707,,1.370,273,,36,,
T,2020-12-13 15:29:02,50.75028603,7.04195772,4,103.840,,1.380,270,,36,,
T,2020-12-13 15:29:03,50.75028595,7.04193331,4,104.556,,1.420,265,,36,,
T,2020-12-13 15:29:04,50.75029038,7.04190686,4,105.735,,1.520,290,,36,,
T,2020-12-13 15:29:05,50.75029250,7.04188000,4,106.607,,1.530,286,,36,,
T,2020-12-13 15:29:06,50.75029194,7.04185542,4,107.189,,1.500,270,,36,,
T,2020-12-13 15:29:07,50.75028646,7.04183043,4,107.009,,1.390,261,,36,,
T,2020-12-13 15:29:08,50.75028337,7.04180649,4,107.196,,1.450,269,,36,,
T,2020-12-13 15:29:09,50.75028515,7.04179337,4,107.603,,0.770,297,,36,,
T,2020-12-13 15:29:10,50.75028501,7.04177476,4,107.961,,1.210,271,,36,,
T,2020-12-13 15:29:11,50.75028648,7.04175507,4,107.882,,1.170,280,,36,,
T,2020-12-13 15:29:12,50.75029514,7.04173968,4,108.570,,1.420,315,,36,,
T,2020-12-13 15:29:13,50.75030229,7.04171811,4,110.540,,1.200,293,,36,,
T,2020-12-13 15:29:14,50.75029805,7.04169226,4,110.627,,1.360,261,,36,,
T,2020-12-13 15:29:15,50.75029662,7.04166659,4,111.084,,1.180,268,,36,,
T,2020-12-13 15:29:16,50.75029821,7.04164559,4,110.537,,1.170,277,,36,,
T,2020-12-13 15:29:17,50.75029513,7.04161378,4,109.514,,1.620,257,,36,,
T,2020-12-13 15:29:18,50.75029397,7.04158664,4,109.675,,1.470,267,,36,,
T,2020-12-13 15:29:19,50.75029211,7.04156199,4,109.611,,1.430,272,,36,,
T,2020-12-13 15:29:20,50.75029183,7.04153986,4,109.570,,1.410,276,,36,,
T,2020-12-13 15:29:21,50.75029223,7.04151789,4,109.538,,1.410,275,,36,,
T,2020-12-13 15:29:22,50.75028903,7.04149415,4,109.548,,1.400,270,,36,,
T,2020-12-13 15:29:23,50.75028711,7.04147066,4,109.797,,1.520,269,,36,,
T,2020-12-13 15:29:24,50.75028734,7.04144868,4,109.590,,1.420,267,,36,,
T,2020-12-13 15:29:25,50.75028760,7.04142836,4,109.446,,1.370,268,,36,,
T,2020-12-13 15:29:26,50.75028595,7.04140762,4,109.307,,1.360,270,,36,,
T,2020-12-13 15:29:27,50.75028457,7.04138578,4,109.316,,1.380,271,,36,,
T,2020-12-13 15:29:28,50.75028423,7.04136460,4,109.263,,1.410,270,,36,,
T,2020-12-13 15:29:29,50.75028346,7.04134230,4,109.158,,1.540,269,,36,,
T,2020-12-13 15:29:30,50.75028210,7.04132067,4,109.235,,1.570,269,,36,,
T,2020-12-13 15:29:31,50.75028057,7.04130013,4,108.879,,1.540,273,,36,,
T,2020-12-13 15:29:32,50.75028019,7.04127997,4,108.805,,1.490,273,,36,,
T,2020-12-13 15:29:33,50.75027923,7.04125983,4,108.738,,1.480,270,,36,,
T,2020-12-13 15:29:34,50.75027873,7.04123814,4,108.550,,1.560,269,,36,,
T,2020-12-13 15:29:35,50.75027928,7.04121329,4,108.844,,1.480,271,,36,,
T,2020-12-13 15:29:36,50.75028033,7.04118802,4,108.880,,1.480,274,,36,,
T,2020-12-13 15:29:37,50.75027857,7.04116512,4,108.615,,1.480,263,,36,,
T,2020-12-13 15:29:38,50.75027463,7.04114288,4,108.160,,1.490,258,,36,,
T,2020-12-13 15:29:39,50.75027533,7.04112293,4,107.162,,1.450,278,,36,,
T,2020-12-13 15:29:40,50.75027435,7.04110001,4,107.053,,1.520,269,,36,,
T,2020-12-13 15:29:41,50.75027283,7.04107674,4,106.460,,1.470,270,,36,,
T,2020-12-13 15:29:42,50.75027209,7.04105477,4,106.306,,1.400,272,,36,,
T,2020-12-13 15:29:43,50.75027058,7.04103334,4,105.990,,1.410,267,,36,,
T,2020-12-13 15:29:44,50.75027053,7.04101232,4,106.042,,1.410,270,,36,,
T,2020-12-13 15:29:45,50.75027199,7.04098905,4,106.172,,1.400,274,,36,,
T,2020-12-13 15:29:46,50.75027539,7.04096583,4,106.283,,1.470,280,,36,,
T,2020-12-13 15:29:47,50.75027604,7.04094662,4,105.974,,1.260,275,,36,,
T,2020-12-13 15:29:48,50.75027643,7.04092430,4,106.106,,1.460,267,,36,,
T,2020-12-13 15:29:49,50.75027869,7.04090424,4,106.599,,1.440,275,,36,,
T,2020-12-13 15:29:50,50.75028134,7.04088334,4,106.884,,1.480,283,,36,,
T,2020-12-13 15:29:51,50.75028244,7.04086243,4,106.868,,1.450,278,,36,,
T,2020-12-13 15:29:52,50.75028258,7.04083751,4,106.979,,1.540,277,,36,,
T,2020-12-13 15:29:53,50.75028009,7.04081098,4,107.030,,1.690,265,,36,,
T,2020-12-13 15:29:54,50.75028070,7.04078511,4,107.368,,1.610,276,,36,,
T,2020-12-13 15:29:55,50.75028061,7.04075988,4,107.191,,1.700,271,,36,,
T,2020-12-13 15:29:56,50.75027891,7.04073766,4,107.034,,1.560,270,,36,,
T,2020-12-13 15:29:57,50.75027646,7.04071394,4,106.800,,1.580,268,,36,,
T,2020-12-13 15:29:58,50.75027532,7.04069115,4,106.743,,1.510,269,,36,,
T,2020-12-13 15:29:59,50.75027492,7.04066710,4,107.035,,1.490,272,,36,,
T,2020-12-13 15:30:00,50.75027498,7.04064435,4,107.006,,1.500,272,,36,,
T,2020-12-13 15:30:01,50.75027386,7.04062171,4,107.026,,1.530,269,,36,,
T,2020-12-13 15:30:02,50.75027257,7.04059966,4,106.943,,1.530,266,,36,,
T,2020-12-13 15:30:03,50.75027081,7.04057724,4,107.004,,1.600,265,,36,,
T,2020-12-13 15:30:04,50.75026931,7.04055605,4,107.087,,1.470,266,,36,,
T,2020-12-13 15:30:05,50.75026784,7.04053359,4,107.164,,1.480,269,,36,,
T,2020-12-13 15:30:06,50.75026602,7.04051163,4,107.307,,1.420,270,,36,,
T,2020-12-13 15:30:07,50.75026328,7.04048758,4,107.530,,1.480,267,,36,,
T,2020-12-13 15:30:08,50.75026268,7.04046396,4,107.417,,1.530,275,,36,,
T,2020-12-13 15:30:09,50.75026327,7.04044101,4,107.728,,1.490,276,,36,,
T,2020-12-13 15:30:10,50.75026049,7.04041743,4,107.796,,1.540,258,,36,,
T,2020-12-13 15:30:11,50.75026143,7.04039635,4,107.755,,1.370,269,,36,,
T,2020-12-13 15:30:12,50.75026272,7.04037450,4,107.419,,1.380,268,,36,,
T,2020-12-13 15:30:13,50.75026459,7.04034975,4,107.677,,1.550,272,,36,,
T,2020-12-13 15:30:14,50.75026661,7.04032671,4,107.766,,1.390,273,,36,,
T,2020-12-13 15:30:15,50.75027056,7.04030274,4,107.953,,1.490,282,,36,,
T,2020-12-13 15:30:16,50.75027326,7.04027901,4,107.913,,1.530,279,,36,,
T,2020-12-13 15:30:17,50.75027759,7.04025844,4,107.796,,1.500,288,,36,,
T,2020-12-13 15:30:18,50.75028358,7.04023959,4,107.817,,1.450,293,,36,,
T,2020-12-13 15:30:19,50.75028969,7.04021831,4,108.105,,1.470,298,,36,,
T,2020-12-13 15:30:20,50.75029779,7.04020104,4,108.322,,1.470,313,,36,,
T,2020-12-13 15:30:21,50.75030439,7.04018152,4,107.993,,1.460,304,,36,,
T,2020-12-13 15:30:22,50.75031665,7.04017647,4,108.214,,1.620,359,,36,,
T,2020-12-13 15:30:23,50.75032895,7.04017095,4,108.268,,1.590,350,,36,,
T,2020-12-13 15:30:24,50.75034270,7.04016754,4,108.258,,1.700,342,,36,,
T,2020-12-13 15:30:25,50.75035736,7.04017026,4,108.096,,1.600,353,,36,,
T,2020-12-13 15:30:26,50.75037167,7.04016851,4,108.002,,1.540,347,,36,,
T,2020-12-13 15:30:27,50.75038642,7.04016462,4,107.884,,1.540,345,,36,,
T,2020-12-13 15:30:28,50.75040138,7.04016271,4,108.092,,1.570,345,,36,,
T,2020-12-13 15:30:29,50.75041704,7.04016196,4,108.478,,1.640,360,,36,,
T,2020-12-13 15:30:30,50.75043223,7.04016197,4,108.420,,1.530,2,,36,,
T,2020-12-13 15:30:31,50.75044743,7.04016225,4,108.402,,1.480,356,,36,,
T,2020-12-13 15:30:32,50.75046287,7.04016232,4,108.441,,1.560,352,,36,,
T,2020-12-13 15:30:33,50.75047806,7.04016415,4,108.113,,1.560,0,,36,,
T,2020-12-13 15:30:34,50.75049366,7.04016326,4,108.093,,1.610,357,,36,,
T,2020-12-13 15:30:35,50.75050795,7.04015886,4,108.533,,1.550,351,,36,,
T,2020-12-13 15:30:36,50.75052141,7.04015646,4,108.865,,1.540,359,,36,,
T,2020-12-13 15:30:37,50.75053611,7.04015388,4,109.163,,1.560,357,,36,,
T,2020-12-13 15:30:38,50.75055001,7.04014920,4,109.201,,1.600,353,,36,,
T,2020-12-13 15:30:39,50.75056343,7.04014628,4,109.350,,1.550,354,,36,,
T,2020-12-13 15:30:40,50.75057730,7.04015433,4,109.222,,1.710,19,,36,,
T,2020-12-13 15:30:41,50.75059264,7.04015574,4,108.829,,1.570,359,,36,,
T,2020-12-13 15:30:42,50.75060900,7.04015793,4,108.717,,1.640,358,,36,,
T,2020-12-13 15:30:43,50.75062576,7.04015880,4,108.786,,1.660,356,,36,,
T,2020-12-13 15:30:44,50.75064137,7.04015863,4,109.050,,1.570,351,,36,,
T,2020-12-13 15:30:45,50.75065685,7.04015963,4,108.846,,1.610,358,,36,,
T,2020-12-13 15:30:46,50.75067171,7.04015945,4,108.843,,1.630,358,,36,,
T,2020-12-13 15:30:47,50.75068555,7.04015522,4,108.533,,1.530,353,,36,,
T,2020-12-13 15:30:48,50.75070056,7.04015058,4,108.713,,1.670,356,,36,,
T,2020-12-13 15:30:49,50.75071609,7.04014582,4,109.066,,1.600,359,,36,,
T,2020-12-13 15:30:50,50.75073184,7.04014248,4,109.452,,1.630,4,,36,,
T,2020-12-13 15:30:51,50.75074736,7.04014091,4,109.464,,1.650,5,,36,,
T,2020-12-13 15:30:52,50.75076164,7.04013844,4,109.006,,1.530,2,,36,,
T,2020-12-13 15:30:53,50.75077700,7.04013810,4,108.880,,1.540,8,,36,,
T,2020-12-13 15:30:54,50.75079307,7.04013821,4,109.049,,1.630,1,,36,,
T,2020-12-13 15:30:55,50.75080937,7.04014000,4,109.199,,1.620,358,,36,,
T,2020-12-13 15:30:56,50.75082567,7.04013789,4,109.404,,1.660,355,,36,,
T,2020-12-13 15:30:57,50.75084201,7.04013544,4,109.197,,1.600,358,,36,,
T,2020-12-13 15:30:58,50.75085743,7.04012830,4,109.022,,1.630,344,,36,,
T,2020-12-13 15:30:59,50.75087403,7.04012236,4,109.172,,1.760,350,,36,,
T,2020-12-13 15:31:00,50.75089013,7.04011692,4,109.031,,1.690,348,,36,,
T,2020-12-13 15:31:01,50.75090494,7.04011424,4,108.771,,1.670,352,,36,,
T,2020-12-13 15:31:02,50.75092014,7.04011176,4,108.806,,1.600,353,,36,,
T,2020-12-13 15:31:03,50.75093566,7.04010694,4,108.713,,1.660,350,,36,,
T,2020-12-13 15:31:04,50.75094923,7.04009782,4,108.535,,1.710,340,,36,,
T,2020-12-13 15:31:05,50.75096277,7.04008894,4,108.615,,1.760,342,,36,,
T,2020-12-13 15:31:06,50.75097619,7.04007981,4,108.729,,1.590,346,,36,,
T,2020-12-13 15:31:07,50.75099059,7.04007070,4,108.617,,1.630,350,,36,,
T,2020-12-13 15:31:08,50.75100501,7.04006527,4,108.595,,1.660,351,,36,,
T,2020-12-13 15:31:09,50.75101971,7.04005778,4,108.449,,1.550,347,,36,,
T,2020-12-13 15:31:10,50.75103517,7.04004744,4,108.219,,1.710,338,,36,,
T,2020-12-13 15:31:11,50.75104998,7.04003895,4,108.132,,1.640,340,,36,,
T,2020-12-13 15:31:12,50.75106340,7.04002626,4,108.058,,1.650,333,,36,,
T,2020-12-13 15:31:13,50.75107756,7.04001461,4,107.872,,1.650,337,,36,,
T,2020-12-13 15:31:14,50.75109195,7.04000449,4,107.979,,1.640,348,,36,,
T,2020-12-13 15:31:15,50.75110429,7.03998959,4,107.874,,1.710,332,,36,,
T,2020-12-13 15:31:16,50.75111624,7.03997771,4,107.768,,1.650,334,,36,,
T,2020-12-13 15:31:17,50.75112743,7.03996658,4,107.577,,1.620,331,,36,,
T,2020-12-13 15:31:18,50.75113929,7.03995661,4,107.465,,1.610,332,,36,,
T,2020-12-13 15:31:19,50.75115123,7.03994390,4,107.431,,1.670,327,,36,,
T,2020-12-13 15:31:20,50.75116266,7.03992931,4,107.307,,1.680,323,,36,,
T,2020-12-13 15:31:21,50.75117307,7.03991444,4,107.334,,1.650,320,,36,,
T,2020-12-13 15:31:22,50.75118345,7.03990021,4,107.352,,1.640,319,,36,,
T,2020-12-13 15:31:23,50.75119374,7.03988613,4,107.423,,1.630,323,,36,,
T,2020-12-13 15:31:24,50.75120465,7.03987177,4,107.258,,1.640,325,,36,,
T,2020-12-13 15:31:25,50.75121571,7.03985595,4,107.066,,1.560,323,,36,,
T,2020-12-13 15:31:26,50.75122706,7.03984012,4,107.065,,1.600,323,,36,,
T,2020-12-13 15:31:27,50.75123836,7.03982185,4,107.224,,1.700,314,,36,,
T,2020-12-13 15:31:28,50.75124873,7.03980496,4,107.191,,1.630,314,,36,,
T,2020-12-13 15:31:29,50.75125703,7.03978632,4,107.240,,1.650,312,,36,,
T,2020-12-13 15:31:30,50.75126389,7.03976699,4,107.463,,1.510,314,,36,,
T,2020-12-13 15:31:31,50.75126980,7.03974485,4,107.502,,1.520,312,,36,,
T,2020-12-13 15:31:32,50.75127680,7.03972185,4,107.569,,1.530,311,,36,,
T,2020-12-13 15:31:33,50.75128429,7.03970003,4,107.698,,1.520,316,,36,,
T,2020-12-13 15:31:34,50.75128717,7.03967061,4,107.908,,1.740,289,,36,,
T,2020-12-13 15:31:35,50.75128925,7.03964525,4,107.644,,1.560,286,,36,,
T,2020-12-13 15:31:36,50.75129661,7.03962441,4,107.823,,1.540,310,,36,,
T,2020-12-13 15:31:37,50.75130227,7.03960081,4,107.961,,1.580,294,,36,,
T,2020-12-13 15:31:38,50.75131052,7.03958022,4,107.437,,1.500,309,,36,,
T,2020-12-13 15:31:39,50.75131796,7.03955856,4,107.123,,1.590,307,,36,,
T,2020-12-13 15:31:40,50.75132603,7.03953821,4,106.700,,1.630,308,,36,,
T,2020-12-13 15:31:41,50.75133281,7.03951772,4,106.636,,1.570,301,,36,,
T,2020-12-13 15:31:42,50.75133782,7.03949522,4,106.700,,1.580,295,,36,,
T,2020-12-13 15:31:43,50.75134448,7.03947478,4,106.795,,1.610,300,,36,,
T,2020-12-13 15:31:44,50.75135062,7.03945404,4,106.534,,1.540,296,,36,,
T,2020-12-13 15:31:45,50.75135760,7.03943337,4,106.492,,1.660,297,,36,,
T,2020-12-13 15:31:46,50.75136595,7.03941346,4,105.945,,1.670,303,,36,,
T,2020-12-13 15:31:47,50.75137372,7.03939327,4,105.716,,1.580,298,,36,,
T,2020-12-13 15:31:48,50.75138165,7.03937175,4,105.499,,1.670,296,,36,,
T,2020-12-13 15:31:49,50.75138790,7.03935093,4,105.608,,1.650,293,,36,,
T,2020-12-13 15:31:50,50.75139244,7.03932843,4,105.541,,1.610,287,,36,,
T,2020-12-13 15:31:51,50.75139735,7.03930807,4,105.459,,1.470,295,,36,,
T,2020-12-13 15:31:52,50.75140230,7.03928691,4,105.246,,1.550,294,,36,,
T,2020-12-13 15:31:53,50.75140911,7.03926967,4,105.156,,1.600,304,,36,,
T,2020-12-13 15:31:54,50.75141447,7.03925058,4,105.165,,1.550,300,,36,,
T,2020-12-13 15:31:55,50.75141956,7.03923100,4,105.052,,1.510,301,,36,,
T,2020-12-13 15:31:56,50.75142568,7.03920965,4,104.859,,1.630,300,,36,,
T,2020-12-13 15:31:57,50.75143003,7.03918704,4,105.133,,1.620,290,,36,,
T,2020-12-13 15:31:58,50.75143794,7.03916611,4,104.918,,1.670,306,,36,,
T,2020-12-13 15:31:59,50.75144468,7.03914686,4,105.158,,1.580,299,,36,,
T,2020-12-13 15:32:00,50.75145020,7.03912693,4,105.165,,1.590,295,,36,,
T,2020-12-13 15:32:01,50.75145833,7.03910913,4,104.740,,1.540,307,,36,,
T,2020-12-13 15:32:02,50.75146608,7.03908938,4,104.531,,1.530,302,,36,,
T,2020-12-13 15:32:03,50.75147572,7.03907179,4,104.203,,1.550,316,,36,,
T,2020-12-13 15:32:04,50.75148611,7.03905628,4,103.954,,1.540,320,,36,,
T,2020-12-13 15:32:05,50.75149569,7.03903837,4,103.800,,1.570,309,,36,,
T,2020-12-13 15:32:06,50.75150669,7.03902301,4,103.836,,1.560,317,,36,,
T,2020-12-13 15:32:07,50.75151953,7.03901418,4,103.327,,1.550,325,,36,,
T,2020-12-13 15:32:08,50.75153164,7.03900414,4,103.290,,1.560,316,,36,,
T,2020-12-13 15:32:09,50.75154607,7.03899255,4,103.333,,1.590,323,,36,,
T,2020-12-13 15:32:10,50.75156060,7.03898171,4,103.216,,1.550,323,,36,,
T,2020-12-13 15:32:11,50.75157508,7.03897107,4,103.258,,1.590,316,,36,,
T,2020-12-13 15:32:12,50.75158630,7.03896138,4,102.669,,1.230,319,,36,,
T,2020-12-13 15:32:13,50.75159973,7.03895167,4,101.996,,1.590,332,,36,,
T,2020-12-13 15:32:14,50.75161337,7.03893760,4,101.385,,1.720,325,,36,,
T,2020-12-13 15:32:15,50.75162685,7.03892674,4,101.960,,1.550,330,,36,,
T,2020-12-13 15:32:16,50.75164019,7.03891501,4,101.989,,1.590,329,,36,,
T,2020-12-13 15:32:17,50.75165361,7.03890348,4,102.462,,1.630,332,,36,,
T,2020-12-13 15:32:18,50.75166704,7.03889369,4,102.523,,1.600,335,,36,,
T,2020-12-13 15:32:19,50.75168075,7.03888558,4,102.814,,1.610,340,,36,,
T,2020-12-13 15:32:20,50.75169430,7.03887855,4,102.701,,1.500,343,,36,,
T,2020-12-13 15:32:21,50.75170867,7.03887122,4,102.878,,1.630,342,,36,,
T,2020-12-13 15:32:22,50.75172269,7.03886345,4,102.935,,1.580,343,,36,,
T,2020-12-13 15:32:23,50.75173797,7.03885883,4,102.943,,1.630,349,,36,,
T,2020-12-13 15:32:24,50.75175210,7.03885032,4,103.261,,1.360,342,,36,,
T,2020-12-13 15:32:25,50.75176837,7.03884193,4,103.134,,1.600,343,,36,,
T,2020-12-13 15:32:26,50.75178452,7.03883650,4,103.527,,1.660,350,,36,,
T,2020-12-13 15:32:27,50.75179970,7.03883465,4,103.865,,1.590,351,,36,,
T,2020-12-13 15:32:28,50.75181503,7.03883408,4,104.009,,1.510,355,,36,,
T,2020-12-13 15:32:29,50.75183173,7.03883148,4,104.601,,1.540,354,,36,,
T,2020-12-13 15:32:30,50.75184801,7.03882871,4,104.891,,1.640,351,,36,,
T,2020-12-13 15:32:31,50.75186345,7.03882669,4,104.516,,1.550,351,,36,,
T,2020-12-13 15:32:32,50.75188189,7.03882428,4,105.191,,1.550,355,,36,,
T,2020-12-13 15:32:33,50.75189998,7.03882000,4,105.954,,1.610,353,,36,,
T,2020-12-13 15:32:34,50.75191818,7.03881639,4,105.559,,1.560,358,,36,,
T,2020-12-13 15:32:35,50.75193591,7.03881478,4,105.397,,1.600,359,,36,,
T,2020-12-13 15:32:36,50.75195405,7.03881412,4,105.342,,1.550,358,,36,,
T,2020-12-13 15:32:37,50.75197404,7.03881203,4,105.439,,1.690,355,,36,,
T,2020-12-13 15:32:38,50.75199017,7.03881030,4,105.559,,1.600,360,,36,,
T,2020-12-13 15:32:39,50.75200685,7.03881045,4,105.672,,1.740,1,,36,,
T,2020-12-13 15:32:40,50.75202175,7.03880976,4,105.823,,1.710,356,,36,,
T,2020-12-13 15:32:41,50.75203858,7.03880962,4,105.987,,1.610,360,,36,,
T,2020-12-13 15:32:42,50.75205511,7.03880783,4,105.919,,1.770,354,,36,,
T,2020-12-13 15:32:43,50.75206943,7.03880656,4,106.032,,1.610,360,,36,,
T,2020-12-13 15:32:44,50.75208545,7.03880753,4,106.434,,1.570,3,,36,,
T,2020-12-13 15:32:45,50.75210214,7.03880930,4,106.898,,1.620,357,,36,,
T,2020-12-13 15:32:46,50.75211760,7.03880997,4,106.937,,1.590,356,,36,,
T,2020-12-13 15:32:47,50.75213462,7.03880771,4,107.668,,1.490,359,,36,,
T,2020-12-13 15:32:48,50.75215017,7.03880391,4,108.165,,1.560,350,,36,,
T,2020-12-13 15:32:49,50.75215984,7.03876627,4,108.726,,3.100,289,,36,,
T,2020-12-13 15:32:50,50.75216414,7.03874167,4,108.673,,1.670,288,,36,,
T,2020-12-13 15:32:51,50.75216650,7.03872010,4,108.284,,1.650,287,,36,,
T,2020-12-13 15:32:52,50.75216904,7.03869786,4,108.350,,1.610,284,,36,,
T,2020-12-13 15:32:53,50.75217267,7.03867742,4,108.492,,1.560,291,,36,,
T,2020-12-13 15:32:54,50.75217770,7.03865606,4,108.970,,1.640,295,,36,,
T,2020-12-13 15:32:55,50.75218146,7.03863422,4,108.772,,1.570,288,,36,,
T,2020-12-13 15:32:56,50.75218694,7.03861252,4,108.712,,1.720,298,,36,,
T,2020-12-13 15:32:57,50.75219211,7.03858709,4,108.383,,1.650,284,,36,,
T,2020-12-13 15:32:58,50.75220116,7.03856692,4,108.568,,1.770,309,,36,,
T,2020-12-13 15:32:59,50.75220954,7.03854492,4,108.762,,1.680,298,,36,,
T,2020-12-13 15:33:00,50.75221653,7.03852197,4,108.589,,1.640,291,,36,,
T,2020-12-13 15:33:01,50.75222282,7.03850058,4,108.306,,1.540,286,,36,,
T,2020-12-13 15:33:02,50.75222914,7.03847772,4,107.669,,1.680,280,,36,,
T,2020-12-13 15:33:03,50.75223625,7.03845440,4,107.769,,1.650,284,,36,,
T,2020-12-13 15:33:04,50.75224155,7.03843294,4,107.967,,1.520,280,,36,,
T,2020-12-13 15:33:05,50.75224794,7.03841053,4,108.283,,1.670,291,,36,,
T,2020-12-13 15:33:06,50.75225424,7.03838915,4,108.416,,1.590,294,,36,,
T,2020-12-13 15:33:07,50.75226120,7.03836771,4,108.768,,1.570,296,,36,,
T,2020-12-13 15:33:08,50.75226437,7.03834512,4,108.537,,1.580,278,,36,,
T,2020-12-13 15:33:09,50.75226613,7.03832062,4,108.170,,1.530,275,,36,,
T,2020-12-13 15:33:10,50.75226809,7.03829669,4,108.152,,1.570,273,,36,,
T,2020-12-13 15:33:11,50.75227096,7.03827383,4,108.077,,1.550,278,,36,,
T,2020-12-13 15:33:12,50.75227517,7.03825188,4,108.276,,1.600,289,,36,,
T,2020-12-13 15:33:13,50.75227715,7.03823160,4,108.313,,1.470,287,,36,,
T,2020-12-13 15:33:14,50.75227797,7.03820868,4,107.896,,1.590,281,,36,,
T,2020-12-13 15:33:15,50.75227927,7.03818544,4,106.944,,1.580,281,,36,,
T,2020-12-13 15:33:16,50.75227992,7.03816278,4,107.056,,1.520,276,,36,,
T,2020-12-13 15:33:17,50.75227712,7.03813863,4,107.039,,1.560,266,,36,,
T,2020-12-13 15:33:18,50.75227459,7.03811384,4,106.896,,1.530,262,,36,,
T,2020-12-13 15:33:19,50.75227122,7.03809083,4,106.982,,1.600,259,,36,,
T,2020-12-13 15:33:20,50.75227153,7.03807011,4,106.941,,1.420,276,,36,,
T,2020-12-13 15:33:21,50.75228115,7.03805049,4,107.373,,1.660,310,,36,,
T,2020-12-13 15:33:22,50.75229249,7.03803872,4,107.458,,1.620,328,,36,,
T,2020-12-13 15:33:23,50.75230545,7.03803200,4,107.441,,1.660,341,,36,,
T,2020-12-13 15:33:24,50.75231776,7.03803323,4,107.080,,1.620,355,,36,,
T,2020-12-13 15:33:25,50.75233038,7.03803440,4,106.622,,1.490,2,,36,,
T,2020-12-13 15:33:26,50.75234327,7.03803693,4,106.304,,1.550,3,,36,,
T,2020-12-13 15:33:27,50.75235542,7.03804046,4,106.214,,1.530,9,,36,,
T,2020-12-13 15:33:28,50.75236839,7.03804307,4,106.608,,1.560,5,,36,,
T,2020-12-13 15:33:29,50.75238044,7.03804985,4,106.108,,1.480,14,,36,,
T,2020-12-13 15:33:30,50.75239331,7.03805554,4,105.939,,1.560,12,,36,,
T,2020-12-13 15:33:31,50.75240601,7.03805966,4,106.200,,1.530,8,,36,,
T,2020-12-13 15:33:32,50.75241899,7.03806377,4,105.970,,1.570,7,,36,,
T,2020-12-13 15:33:33,50.75243296,7.03806817,4,105.679,,1.610,12,,36,,
T,2020-12-13 15:33:34,50.75244691,7.03807093,4,105.627,,1.620,8,,36,,
