X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
7.050661,50.760312,0,0,120,102.016347,2020/09/13 14:48:07.519+00,,,,,,,,,,,,,,,,,,,,,
7.050787,50.760408,0,0,121,101.865814,2020/09/13 14:48:10.514+00,,,,,,,,,,,,,,,,,,,,,
7.050911,50.760498,0,0,122,101.721784,2020/09/13 14:48:13.520+00,,,,,,,,,,,,,,,,,,,,,
7.051032,50.760576,0,0,123,101.589943,2020/09/13 14:48:16.518+00,,,,,,,,,,,,,,,,,,,,,
7.05114,50.760671,0,0,124,101.448772,2020/09/13 14:48:19.524+00,,,,,,,,,,,,,,,,,,,,,
7.05125,50.760769,0,0,125,101.30377,2020/09/13 14:48:22.531+00,,,,,,,,,,,,,,,,,,,,,
7.051366,50.760873,0,0,126,101.150214,2020/09/13 14:48:25.586+00,,,,,,,,,,,,,,,,,,,,,
7.05148,50.760988,0,0,127,100.986452,2020/09/13 14:48:28.522+00,,,,,,,,,,,,,,,,,,,,,
7.051565,50.761067,0,0,128,100.871163,2020/09/13 14:48:30.525+00,,,,,,,,,,,,,,,,,,,,,
7.051649,50.761147,0,0,129,100.755299,2020/09/13 14:48:32.526+00,,,,,,,,,,,,,,,,,,,,,
7.051741,50.761216,0,0,130,100.6464,2020/09/13 14:48:34.525+00,,,,,,,,,,,,,,,,,,,,,
7.051838,50.761283,0,0,131,100.536794,2020/09/13 14:48:36.588+00,,,,,,,,,,,,,,,,,,,,,
7.051936,50.761352,0,0,132,100.424889,2020/09/13 14:48:38.520+00,,,,,,,,,,,,,,,,,,,,,
7.052032,50.761422,0,0,133,100.318179,2020/09/13 14:48:40.524+00,,,,,,,,,,,,,,,,,,,,,
7.052159,50.761519,0,0,134,100.23587,2020/09/13 14:48:43.525+00,,,,,,,,,,,,,,,,,,,,,
7.052279,50.761604,0,0,135,100.161396,2020/09/13 14:48:46.518+00,,,,,,,,,,,,,,,,,,,,,
7.052389,50.761689,0,0,136,100.089608,2020/09/13 14:48:49.525+00,,,,,,,,,,,,,,,,,,,,,
7.052509,50.76176,0,0,137,100.021684,2020/09/13 14:48:55.517+00,,,,,,,,,,,,,,,,,,,,,
7.052677,50.761845,0,0,138,99.932753,2020/09/13 14:48:59.532+00,,,,,,,,,,,,,,,,,,,,,
7.052785,50.761911,0,0,139,99.870676,2020/09/13 14:49:01.525+00,,,,,,,,,,,,,,,,,,,,,
7.052935,50.761984,0,0,140,99.79244,2020/09/13 14:49:04.529+00,,,,,,,,,,,,,,,,,,,,,
7.053054,50.762054,0,0,141,99.725264,2020/09/13 14:49:06.530+00,,,,,,,,,,,,,,,,,,,,,
7.053163,50.76213,0,0,142,99.658204,2020/09/13 14:49:08.529+00,,,,,,,,,,,,,,,,,,,,,
7.053264,50.762198,0,0,143,99.597228,2020/09/13 14:49:10.533+00,,,,,,,,,,,,,,,,,,,,,
7.053372,50.762268,0,0,144,99.533307,2020/09/13 14:49:12.523+00,,,,,,,,,,,,,,,,,,,,,
7.053479,50.762338,0,0,145,99.469674,2020/09/13 14:49:14.523+00,,,,,,,,,,,,,,,,,,,,,
7.053589,50.76241,0,0,146,99.40424,2020/09/13 14:49:16.525+00,,,,,,,,,,,,,,,,,,,,,
7.053712,50.762483,0,0,147,99.334517,2020/09/13 14:49:18.513+00,,,,,,,,,,,,,,,,,,,,,
7.053827,50.762559,0,0,148,99.265766,2020/09/13 14:49:20.580+00,,,,,,,,,,,,,,,,,,,,,
7.053944,50.762638,0,0,149,99.195023,2020/09/13 14:49:22.530+00,,,,,,,,,,,,,,,,,,,,,
7.054055,50.762711,0,0,150,99.126832,2020/09/13 14:49:24.525+00,,,,,,,,,,,,,,,,,,,,,
7.054157,50.76278,0,0,151,99.058898,2020/09/13 14:49:26.519+00,,,,,,,,,,,,,,,,,,,,,
7.054257,50.762844,0,0,152,98.994188,2020/09/13 14:49:28.528+00,,,,,,,,,,,,,,,,,,,,,
7.054365,50.762911,0,0,153,98.925377,2020/09/13 14:49:30.530+00,,,,,,,,,,,,,,,,,,,,,
7.054464,50.762984,0,0,154,98.856211,2020/09/13 14:49:32.518+00,,,,,,,,,,,,,,,,,,,,,
7.054568,50.763053,0,0,155,98.787653,2020/09/13 14:49:34.524+00,,,,,,,,,,,,,,,,,,,,,
7.054675,50.76312,0,0,156,98.719166,2020/09/13 14:49:36.519+00,,,,,,,,,,,,,,,,,,,,,
7.054778,50.763188,0,0,157,98.651443,2020/09/13 14:49:38.525+00,,,,,,,,,,,,,,,,,,,,,
7.054883,50.763254,0,0,158,98.584108,2020/09/13 14:49:40.522+00,,,,,,,,,,,,,,,,,,,,,
7.054991,50.763323,0,0,159,98.514283,2020/09/13 14:49:42.577+00,,,,,,,,,,,,,,,,,,,,,
7.055135,50.763417,0,0,160,98.420155,2020/09/13 14:49:45.521+00,,,,,,,,,,,,,,,,,,,,,
7.055249,50.763494,0,0,161,98.344292,2020/09/13 14:49:48.513+00,,,,,,,,,,,,,,,,,,,,,
7.055409,50.763487,0,0,162,98.271338,2020/09/13 14:49:52.523+00,,,,,,,,,,,,,,,,,,,,,
7.055557,50.763439,0,0,163,98.195684,2020/09/13 14:49:55.527+00,,,,,,,,,,,,,,,,,,,,,
7.055725,50.763407,0,0,164,98.115875,2020/09/13 14:49:58.530+00,,,,,,,,,,,,,,,,,,,,,
7.055865,50.763359,0,0,165,98.043439,2020/09/13 14:50:02.524+00,,,,,,,,,,,,,,,,,,,,,
7.055997,50.763279,0,0,166,97.960283,2020/09/13 14:50:06.525+00,,,,,,,,,,,,,,,,,,,,,
7.056139,50.763201,0,0,167,97.874734,2020/09/13 14:50:10.528+00,,,,,,,,,,,,,,,,,,,,,
7.056338,50.763216,0,0,168,98.274826,2020/09/13 14:50:13.523+00,,,,,,,,,,,,,,,,,,,,,
7.05648,50.763279,0,0,169,98.736504,2020/09/13 14:50:16.534+00,,,,,,,,,,,,,,,,,,,,,
7.056617,50.763358,0,0,170,99.229957,2020/09/13 14:50:19.524+00,,,,,,,,,,,,,,,,,,,,,
7.05678,50.763441,0,0,171,99.786943,2020/09/13 14:50:22.507+00,,,,,,,,,,,,,,,,,,,,,
7.05689,50.763499,0,0,172,100.168123,2020/09/13 14:50:24.511+00,,,,,,,,,,,,,,,,,,,,,
7.056995,50.763563,0,0,173,100.556253,2020/09/13 14:50:26.512+00,,,,,,,,,,,,,,,,,,,,,
7.057109,50.763626,0,0,174,100.959192,2020/09/13 14:50:28.516+00,,,,,,,,,,,,,,,,,,,,,
7.057224,50.76369,0,0,175,101.366906,2020/09/13 14:50:30.526+00,,,,,,,,,,,,,,,,,,,,,
7.057346,50.763757,0,0,176,101.796957,2020/09/13 14:50:32.525+00,,,,,,,,,,,,,,,,,,,,,
7.057511,50.763812,0,0,177,102.293396,2020/09/13 14:50:35.526+00,,,,,,,,,,,,,,,,,,,,,
7.057686,50.763851,0,0,178,102.787265,2020/09/13 14:50:39.520+00,,,,,,,,,,,,,,,,,,,,,
7.057795,50.763924,0,0,179,103.209808,2020/09/13 14:50:42.522+00,,,,,,,,,,,,,,,,,,,,,
7.0579,50.763987,0,0,180,103.595028,2020/09/13 14:50:45.515+00,,,,,,,,,,,,,,,,,,,,,
7.058001,50.76406,0,0,181,104.003243,2020/09/13 14:50:48.512+00,,,,,,,,,,,,,,,,,,,,,
7.058127,50.764142,0,0,182,104.484438,2020/09/13 14:50:51.523+00,,,,,,,,,,,,,,,,,,,,,
7.058251,50.764218,0,0,183,104.944023,2020/09/13 14:50:54.524+00,,,,,,,,,,,,,,,,,,,,,
7.058382,50.764301,0,0,184,105.420485,2020/09/13 14:50:57.514+00,,,,,,,,,,,,,,,,,,,,,
7.058519,50.764393,0,0,185,105.271547,2020/09/13 14:51:00.554+00,,,,,,,,,,,,,,,,,,,,,
7.058665,50.764489,0,0,186,105.11457,2020/09/13 14:51:03.529+00,,,,,,,,,,,,,,,,,,,,,
7.058768,50.764555,0,0,187,105.005283,2020/09/13 14:51:05.518+00,,,,,,,,,,,,,,,,,,,,,
7.058872,50.764625,0,0,188,104.892083,2020/09/13 14:51:07.516+00,,,,,,,,,,,,,,,,,,,,,
7.058979,50.764696,0,0,189,104.776491,2020/09/13 14:51:09.529+00,,,,,,,,,,,,,,,,,,,,,
7.059086,50.76477,0,0,190,104.658314,2020/09/13 14:51:11.582+00,,,,,,,,,,,,,,,,,,,,,
7.059201,50.764845,0,0,191,104.535191,2020/09/13 14:51:13.511+00,,,,,,,,,,,,,,,,,,,,,
7.059327,50.764924,0,0,192,104.40295,2020/09/13 14:51:15.533+00,,,,,,,,,,,,,,,,,,,,,
7.059454,50.765006,0,0,193,104.267676,2020/09/13 14:51:17.537+00,,,,,,,,,,,,,,,,,,,,,
7.059577,50.765089,0,0,194,104.133615,2020/09/13 14:51:19.514+00,,,,,,,,,,,,,,,,,,,,,
7.059701,50.765169,0,0,195,104.00159,2020/09/13 14:51:21.529+00,,,,,,,,,,,,,,,,,,,,,
7.059833,50.765247,0,0,196,103.866944,2020/09/13 14:51:23.525+00,,,,,,,,,,,,,,,,,,,,,
7.059964,50.765332,0,0,197,103.727058,2020/09/13 14:51:25.523+00,,,,,,,,,,,,,,,,,,,,,
7.060086,50.765416,0,0,198,103.59264,2020/09/13 14:51:27.520+00,,,,,,,,,,,,,,,,,,,,,
